country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,,7790,8090,7980,8190,10.2k,10.9k,11k,10.6k,10.1k,10.1k,9120,10k,10.2k,10.2k,9950,8520,7310,7060,7230,7570,7730,8670,715,1000,1220,1300,1140,,,511,588,294,226,277,,,,,,,,349,410,478,332,423,320,229,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,815,2010,1210,,,,,1390,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3k,55.6k,45.4k,33.9k,31.5k,25.3k,40k,44.3k,35.5k,36.1k,45k,48.4k,42k,21.2k,2470,,,4290,
Djibouti,,,,,,,,,,,,,,,,27.4k,28.5k,30.7k,32.8k,34.6k,35.7k,,36.5k,37.6k,38k,38.7k,40.4k,42.5k,,44.8k,44.4k,42.6k,41.6k,,39.5k,38.6k,36.9k,33.2k,24.3k,23k,,16.2k,,15.9k,12.5k,14.8k,16.1k,15.2k,15.1k,14k,15.4k
Dominica,,,,,,,502,426,,744,949,779,779,,,,,,,,,,,,,,,,,,,240,228,319,435,535,533,773,702,286,,,,,,,,,,98,23
Denmark,,,,,,,,,,,,9770,7880,3970,2260,2000,2740,1960,1590,3720,3780,2850,4380,5100,2270,2490,3120,,,,,,,,2330,2950,2060,674,1010,1400,2100,1840,1070,577,860,94,,,519,961,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7k,68.1k,,46.4k,68.2k,79.1k,71.9k,75.4k,44.3k,65.8k,,42.8k,34.7k,41k,40.2k,49.6k,28.6k,26.2k,29.8k,31.3k,20k,20.3k
Algeria,,,,583k,552k,531k,511k,491k,480k,484k,478k,483k,499k,519k,513k,514k,496k,477k,461k,444k,436k,399k,372k,376k,368k,357k,357k,360k,,271k,245k,195k,161k,144k,123k,113k,104k,92.2k,62.2k,,,,,,,,,,,,
Ecuador,,104k,,109k,105k,110k,110k,95.7k,87.5k,72.3k,82.1k,,,,,,,,,,,,,,58.2k,54.8k,45.2k,25.6k,20.9k,22.3k,19k,6290,,,,11.2k,6360,,35.9k,,,,,,,,,,,,
Egypt,,1.27M,1.29M,1.33M,,,,,1.39M,,,,,,,,,,,,,,,,755k,,,659k,,647k,557k,499k,443k,394k,340k,,,,,,,,34.2k,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,116k,,118k,119k,118k,117k,,105k,92.1k,86.8k,71.9k,57.1k,46.6k,36.8k,32.1k,39.9k,47k,55.4k,64.5k,64.2k,64.6k,78.6k,87k,98.1k,,123k,125k,,
Spain,,84k,60.9k,49.5k,,,,,18.4k,14k,,,,,,,,,20.2k,9410,11.6k,,2420,,,,,,,,,,,,,,,,,,,,,,,,8850,31.4k,40.8k,37.1k,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,9040,6500,,,,,,,,323,546,654,,,,,,,566,856,927,1010,946,886,936,
Ethiopia,,,,,,,,,,,,,,,,,,2.56M,2.65M,2.76M,,,,,3.74M,3.82M,3.8M,,3.68M,3.62M,3.48M,3.32M,3.28M,3.33M,3.23M,2.65M,2.4M,2.12M,1.79M,1.83M,2.02M,1.79M,1.7M,,1.31M,1.39M,,,,,1.42M
Finland,,,,,,,,,,,,,,,,,,,,,,,,2480,2490,3130,2520,2270,1230,,,,833,2290,4210,4580,5210,3960,3440,3040,2530,2170,1300,1220,437,1070,1190,1900,2090,2820,
Fiji,,,,,,,,,,,,,,,,,,,,,,,1820,,1570,2270,3800,3560,2910,2950,2800,1030,,18,,,,,,293,,,,33,,598,,,,,
France,,45.9k,45.9k,,,,,114k,,18.3k,7070,,45.4k,83.2k,,93.1k,44.3k,,,,,,14.8k,41.3k,43.5k,21.6k,,187,,59.6k,64.7k,65.1k,65.4k,69.6k,67.8k,,,,8930,16.1k,25.8k,1190,249,6010,23.7k,8910,523,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,992,767,,,792,1110
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,49.8k,78.2k,105k,116k,114k,105k,95.2k,90.3k,83.8k,49.2k,49.2k,67.6k,101k,111k,128k,94.1k,35.3k,2730,,,32.7k,67.8k,,,,,,,,,,2320,,10.9k,,2240,41.5k,23k,40k,34.5k,35.2k,31.8k,8410,,,9850,13.4k,19.3k,30.1k,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,14.3k,1430,,,,,,,,,,,,1240,3570,,2380,2090,,1450,,2370,,,,116
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615k,502k,586k,532k,547k,,496k,454k,375k,283k,280k,,143k,,,,,,33.8k,69.2k,8780,110k
Gibraltar,,,,,,,,,445,484,,508,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,339k,344k,358k,375k,385k,397k,412k,416k,,,,,,,433k,429k,417k,403k,367k,351k,335k,324k,311k,301k,317k,313k,306k,270k,281k,272k,246k,,283k,,,,222k
Gambia,,30.4k,31.3k,32.1k,33.1k,34k,34.7k,33.7k,32.9k,33.1k,32.6k,30.4k,29.7k,28.9k,28.3k,28.2k,29.2k,,,,,,44.7k,44.2k,,,43k,,45k,37.5k,41.5k,42.2k,46.4k,42k,41.3k,44k,38.7k,36.7k,42.2k,,43.9k,45k,40.8k,42.3k,42.8k,33.6k,31.1k,27.5k,25.3k,18.3k,13.9k
Guinea-Bissau,,,,,,,,,,,,40.7k,39.3k,,42.6k,43.9k,,50.2k,52.8k,,,,,,,,,,,,59.1k,,,,,,,,,,34.4k,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,12.2k,,,,,,14.6k,11.8k,13.2k,13.7k,,,,,29.6k,31.5k,33.2k,33.8k,34.4k,,,40.8k,,,,,
Greece,,35.4k,32.3k,26.6k,19.2k,16.9k,15.1k,17.3k,20.7k,26.1k,34.9k,27k,26.7k,22.8k,23.3k,24.1k,28.3k,39.1k,35.5k,37.8k,39.5k,39.6k,44.8k,50.8k,50.6k,38.5k,39.5k,34.3k,8750,6110,2300,6940,8500,9530,13.2k,16.2k,17.3k,16.6k,,,12.7k,11.9k,9630,8880,10.9k,8100,5400,3770,3860,1900,
Grenada,,,1840,,,,,197,,,479,768,1010,994,764,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,
Guatemala,262k,264k,267k,,273k,276k,,,288k,,,284k,305k,296k,,,,,,,,,,,,,,287k,,183k,161k,175k,144k,,101k,85.3k,68.6k,56.7k,57k,,,47k,82.8k,110k,132k,136k,143k,130k,117k,119k,114k
Guyana,,8340,7530,,5480,,8080,5230,,7290,,,7000,,,,,,,,,4700,5960,6640,,5680,6340,,,,,,,4370,,,,,1180,4410,2550,,,,,,,,,,
"Hong Kong, China",,37.7k,33.9k,33.2k,28.1k,21.8k,15.7k,11.4k,11.8k,10.5k,1550,2640,3030,3540,5370,8350,,,,,,,,,,11.7k,13.4k,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,75.1k,76k,,47.5k,41.7k,38.7k,,37.6k,,,,,56.9k,,53.7k,,,,,,,70.9k,,,51.6k,46k,74.7k,55k,90.6k,71.4k,79.3k,71.6k,71.9k,92k,110k,116k,117k,109k,100k,,83.4k,87.8k
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9k,8100,6450,2780,,,,,,,1230,7460,3420,1320,,,,,,,,,
Haiti,,,,,,,,,,,,263k,248k,233k,256k,245k,240k,288k,,,,,,,,,,275k,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1k,33.6k,4570,4390,7520,5660,4580,7360,7800,6250,4630,6210,4000,2640,2810,4240,5240,5930,5610,5380,4350,5180,8560,10.6k,
Indonesia,,3.16M,3.14M,,3.56M,3.16M,2.91M,,2.08M,,,1.66M,,,,,,429k,,483k,681k,798k,942k,1.09M,1.05M,1.1M,1.15M,1.16M,,,,587k,644k,760k,869k,1.08M,908k,643k,643k,568k,329k,170k,493k,801k,1.01M,,1.17M,974k,1.07M,,
India,,18.2M,,,,,,,,,,,,,,,,,,,17.5M,,,,,,,,,,13.1M,12.7M,12.6M,7.1M,,,,2.02M,1.19M,1.66M,1.5M,1.54M,1.25M,862k,,,,,,,2.44M
Ireland,,2730,4450,4050,6160,6290,6580,7000,6960,8490,10.9k,14.7k,19.4k,22.8k,,,25.2k,23.9k,21.9k,20.5k,19.5k,20.8k,22.7k,23k,22.2k,20.9k,18.4k,,,213,,17,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,736k,736k,721k,744k,724k,720k,537k,,373k,,,,,478k,,693k,620k,,191k,206k,139k,194k,170k,147k,,72.1k,99.9k,97.1k,66.6k,,,,,,,,
Iraq,,492k,507k,519k,528k,530k,491k,475k,455k,215k,140k,133k,,193k,,236k,231k,217k,193k,234k,,,,398k,,,474k,,,296k,321k,,,,267k,,,285k,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,388,,226,165,117,,,,,418,707,672,476,225,57,,60,149,227,322,331,206,83,,,,
Italy,,,,,,,18.5k,,,9920,,,,,,15.3k,,,,,,,,,,,29.6k,12.5k,,,,,,,,,,,,,,,,3210,13.3k,21.3k,29.7k,37.2k,45.7k,49.8k,
Jamaica,,,,,,6830,11.6k,10.1k,,3300,2650,3960,,1700,3740,5200,4890,4040,7970,1930,3830,6570,,13.9k,,,,,,14.1k,11.8k,11.8k,12.4k,14.4k,11.5k,15.1k,,,,,,,,,,,,,,,
Jordan,,,27.9k,20.8k,,,,,9600,9560,17.6k,21.4k,23.3k,28.5k,29.9k,25.8k,,,,,,,,,,,,,,31.8k,29.2k,,23.5k,18.3k,16.5k,22.2k,28.9k,41.7k,57.3k,,97.8k,117k,140k,149k,,,156k,138k,136k,134k,142k
Japan,,18.4k,41k,68.2k,153k,104k,62.5k,44.2k,71.4k,62.2k,,28.2k,82.3k,99k,84.3k,28.6k,,,,,,21.5k,34.8k,,10.1k,,,,68.3k,76.8k,,,,,,,,,,,,,,,,,50.7k,68.5k,74.5k,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1k,,353,,,,2200,5130,,,,,,,,,,,,,68.2k
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02M,938k,742k,917k,490k,561k,563k,612k,336k,452k,398k,,,620k,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9k,,,13.2k,15.4k,14.1k,14.3k,14.2k,2400,8290,5900,7650,8500,9150,8070,8270,3740,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,242k,222k,191k,126k,,,,,,56k,57.2k,65.5k,,66.2k,,,,51.5k,28.7k,66k,90.1k,91.3k,92.8k,111k
Kiribati,,,,,,,,,,,,,,,,59,80,297,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,670,466,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,
South Korea,,157k,103k,119k,124k,105k,76.1k,94.4k,81.4k,36k,,,,,16.3k,27.3k,33.8k,6980,,,,,,,,,,,,,1630,28.9k,38k,26.2k,29.2k,,,,,3750,,,24.4k,58.7k,52.9k,18.5k,35.7k,32.7k,12.5k,,
Kuwait,,18.2k,17.4k,17.2k,18.6k,19.4k,19.4k,17.4k,14.7k,16.6k,16k,15.4k,14.7k,12.4k,11.7k,12.2k,13.1k,18k,20.3k,,,,51.8k,,25.5k,,10000,10.8k,,5670,5210,2830,825,,,4650,,,,,,,,,,,1150,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,138k,129k,123k,,122k,116k,108k,107k,106k,110k,107k,97.5k,92.4k,85.6k,78.6k,66.9k,55.8k,44.6k,27.2k,25.9k,25.8k,18.4k,16.7k,22k,26.2k,31k,35.2k,35.1k,34k
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116k,,,,,,,,,160k,,,,,,26.1k,,,77.2k,,,
Libya,,61.7k,47k,,,,,,24.8k,,,17.2k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,352,263,,,,,,,,476,,,,,,,,,,1260,1270,,,737,877,634,679,,,,,,,,,163,48,18,,44
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260,,22.5k,28.9k,33.2k,41.6k,62.7k,51.3k,52.1k,50.1k,39.1k,30.3k,,,,,,
Lesotho,28.5k,,34k,35.2k,26.7k,,27.9k,27.7k,38.3k,37.9k,40k,42.2k,38.3k,40.9k,41.2k,39.5k,42.2k,42k,42.6k,45.8k,49.1k,48.4k,49.6k,55.3k,55k,59.2k,58.2k,,73.7k,80k,42.1k,38.2k,33.1k,27.5k,26.7k,23k,19k,22.1k,18.9k,17.5k,15.1k,15.4k,14.8k,12.9k,12.8k,10.8k,7100,3110,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,,,,,155,,,,,,,,,,,,,,,,,
Luxembourg,,,1260,1390,1140,1280,1320,1280,1330,,,2820,1930,2100,2170,,2110,2480,1680,,,,,,,,,,,149,281,373,356,643,529,225,130,127,241,,611,671,571,516,495,175,,,,,
